Ground Elevation: 2645 (m)
Time, Latitude, Longitude (degrees * 10^-7), Altitude (m), Sallites, Downwelling Temp (°C), Upwelling Temp (°C), Downwelling Signal (DN), Upwelling Signal (DN)
16:59:27.4294960636, 452328291, -1114749207, 2648, 16, 7.200000, 5.100000, 6640, 10087
16:59:31.4294958872, 452328348, -1114749266, 2648, 16, 7.200000, 5.100000, 6522, 9669
16:59:35.4294957113, 452328325, -1114749257, 2648, 16, 7.200000, 5.100000, 6530, 9599
16:59:39.4294955351, 452328308, -1114749234, 2648, 16, 7.200000, 5.100000, 6400, 8112
16:59:43.4294953582, 452328297, -1114749213, 2648, 16, 7.300000, 5.100000, 6252, 7463
16:59:47.4294951807, 452328289, -1114749181, 2648, 16, 7.300000, 5.100000, 6501, 9399
16:59:51.4294950029, 452328273, -1114749142, 2648, 17, 7.300000, 5.100000, 6362, 9058
16:59:55.4294948255, 452328272, -1114749127, 2648, 16, 7.300000, 5.100000, 4532, 9456
16:59:59.4294946485, 452328413, -1114748936, 2646, 15, 7.300000, 5.200000, 6757, 12368
17:0:3.4294944709, 452328620, -1114748445, 2645, 16, 7.300000, 5.200000, 4806, 18049
17:0:7.4294942928, 452328632, -1114748365, 2644, 16, 7.300000, 5.100000, 6388, 62522
17:0:11.4294941145, 452328643, -1114748308, 2643, 16, 7.300000, 5.100000, 6730, 62538
17:0:15.4294939358, 452328637, -1114748243, 2643, 17, 7.300000, 5.100000, 6738, 62555
17:0:19.4294937572, 452328640, -1114748185, 2642, 16, 7.300000, 5.100000, 6742, 62555
17:0:23.4294935788, 452328665, -1114748191, 2642, 16, 7.300000, 5.000000, 6706, 62588
17:0:27.4294934012, 452328650, -1114748221, 2642, 15, 7.300000, 5.000000, 6750, 62562
17:0:31.4294932242, 452328616, -1114748265, 2642, 14, 7.300000, 5.000000, 6735, 62555
17:0:35.4294930472, 452328610, -1114748283, 2643, 14, 7.300000, 5.000000, 6696, 62571
17:0:39.4294928702, 452328599, -1114748305, 2643, 15, 7.200000, 5.000000, 6749, 62593
17:0:43.4294926930, 452328616, -1114748319, 2643, 15, 7.200000, 5.000000, 6732, 62589
17:0:47.4294925154, 452328622, -1114748328, 2643, 15, 7.200000, 5.000000, 6742, 62586
17:0:51.4294923374, 452328631, -1114748328, 2643, 15, 7.100000, 5.000000, 6739, 62590
17:0:55.4294921590, 452328627, -1114748307, 2642, 15, 7.100000, 5.000000, 6720, 62595
17:0:59.4294919808, 452328622, -1114748308, 2643, 15, 7.100000, 4.900000, 6760, 62578
17:1:3.4294918032, 452328625, -1114748304, 2643, 14, 7.000000, 4.900000, 6769, 62571
17:1:7.4294916262, 452328632, -1114748310, 2643, 14, 7.000000, 4.900000, 6763, 62586
17:1:11.4294914502, 452328634, -1114748336, 2643, 14, 7.000000, 4.900000, 6785, 62565
17:1:15.4294912752, 452328629, -1114748342, 2643, 14, 6.900000, 4.900000, 6754, 62581
17:1:19.4294911006, 452328631, -1114748349, 2643, 15, 6.800000, 4.800000, 6814, 62581
17:1:23.4294909263, 452328631, -1114748343, 2642, 14, 6.800000, 4.800000, 6790, 62579
17:1:27.4294907518, 452328630, -1114748321, 2642, 14, 6.800000, 4.800000, 6793, 62590
17:1:31.4294905774, 452328627, -1114748284, 2641, 17, 6.700000, 4.800000, 6813, 62576
17:1:35.4294904029, 452328627, -1114748264, 2641, 17, 6.700000, 4.800000, 6840, 62561
17:1:39.4294902292, 452328634, -1114748246, 2640, 17, 6.600000, 4.800000, 6815, 62574
17:1:43.4294900569, 452328635, -1114748235, 2640, 17, 6.600000, 4.700000, 6809, 62583
17:1:47.4294898852, 452328626, -1114748221, 2640, 17, 6.600000, 4.700000, 6839, 62591
17:1:51.4294897148, 452328611, -1114748209, 2639, 16, 6.500000, 4.700000, 6866, 62581
